JPM BAC WFC GS MS C SCHW BLK SPGI AXP JNJ PFE MRK ABBV UNH LLY TMO ABT BMY CVS XOM CVX COP SLB OXY KO PG PEP WMT HD MCD NKE DIS COST LOW BA CAT GE HON UPS RTX LMT MMM DE V MA IBM ORCL CSCO T VZ
215.45 39.67 56.45 504.68 101.75 62.03 65.58 870.21 469.01 254.05 159.63 28.80 114.42 196.87 578.78 921.81 607.60 111.90 49.30 58.80 118.53 146.83 111.74 45.36 57.39 68.98 168.42 173.82 73.72 363.07 287.55 83.28 90.82 872.35 243.21 179.64 344.65 170.93 196.75 128.95 118.35 558.39 127.08 372.91 266.47 466.98 194.73 137.92 49.98 19.49 40.74
214.52 38.69 56.15 497.34 100.78 61.31 64.84 860.97 471.01 253.08 160.16 28.90 115.14 196.15 580.65 949.97 614.54 110.77 48.98 58.90 114.58 144.69 109.85 44.03 56.17 69.38 170.41 175.85 74.54 367.27 285.63 83.56 89.74 876.20 240.33 172.10 343.30 169.99 197.76 128.88 117.95 557.01 127.70 372.59 268.04 469.12 196.03 139.17 50.24 19.49 40.85
214.60 38.75 55.46 496.46 100.69 60.53 64.57 863.09 472.07 246.30 161.43 29.03 116.03 196.53 578.07 951.97 610.17 111.39 48.44 58.32 113.85 145.32 109.62 44.20 56.02 69.57 170.16 175.21 75.24 370.46 289.71 84.00 90.72 881.42 242.37 173.43 342.97 171.20 199.10 127.90 117.26 553.76 129.23 377.05 268.20 468.00 197.21 140.20 50.45 19.54 41.05
216.63 39.24 55.96 497.75 100.56 60.42 64.27 865.24 471.83 247.76 162.35 28.78 116.55 196.37 578.72 954.17 603.86 112.10 47.62 57.74 114.73 145.73 109.97 44.12 56.10 69.33 170.15 175.74 75.58 365.36 289.21 83.41 89.92 877.56 240.31 172.76 342.36 169.68 197.83 126.84 118.02 557.03 128.60 376.59 267.94 468.82 195.96 138.08 50.22 19.51 40.87
218.31 39.77 56.70 509.42 101.89 62.14 64.39 882.84 473.60 251.30 164.13 28.90 116.60 197.55 584.51 952.74 606.12 112.69 48.11 58.75 116.32 147.62 111.40 45.12 57.24 69.79 169.17 175.87 75.70 375.59 289.52 84.05 90.56 879.21 250.07 174.96 348.41 171.22 200.15 127.97 118.52 555.01 130.55 381.18 267.44 466.44 196.10 139.19 50.74 19.73 41.21
219.17 39.92 56.72 507.87 102.33 61.79 64.48 883.14 474.95 253.88 164.61 28.92 116.27 197.44 587.13 950.53 605.59 112.70 48.24 58.70 118.81 148.50 113.56 45.60 57.37 70.84 170.35 175.97 76.03 374.11 288.68 84.28 91.78 892.51 250.50 173.48 351.16 171.22 201.50 129.26 118.70 558.10 131.85 383.09 268.21 468.64 197.98 138.90 50.79 19.76 41.49
220.18 39.67 56.26 507.26 102.08 61.68 63.91 886.13 478.14 255.03 162.95 28.82 116.50 195.92 587.35 954.48 610.40 113.10 48.12 57.46 117.68 146.95 112.43 45.04 56.84 71.50 169.25 175.30 76.13 373.18 289.64 85.29 90.90 908.90 248.57 173.05 351.12 170.99 203.73 127.90 119.49 560.41 131.40 375.98 270.72 474.99 198.73 138.48 50.71 19.65 41.45
221.29 39.95 57.07 503.33 102.20 61.58 63.98 888.66 478.02 257.09 163.92 28.75 117.40 195.40 588.54 948.94 613.14 112.90 49.06 57.24 116.52 146.00 112.15 43.74 56.78 71.75 169.06 173.92 76.08 372.69 287.05 82.79 89.49 888.05 248.94 170.71 348.20 171.87 202.64 127.19 120.84 563.98 131.61 377.95 269.19 471.80 198.46 137.88 49.85 19.82 41.49
222.21 40.17 57.35 510.10 102.60 61.88 64.93 894.87 480.65 259.84 164.23 28.72 117.46 195.18 591.57 940.20 611.68 112.76 49.72 56.97 118.13 147.42 114.37 44.18 57.21 72.05 170.03 172.09 76.42 367.06 287.86 83.26 89.81 886.63 246.77 172.26 351.64 173.58 205.12 126.98 122.29 566.85 132.91 381.82 274.32 480.80 198.90 139.42 50.39 19.76 41.25
224.80 40.75 58.47 510.25 103.61 62.64 65.10 901.81 485.56 258.65 165.86 29.01 118.45 196.31 590.20 960.02 615.07 113.27 49.95 57.24 117.94 147.95 113.79 43.99 56.98 72.47 171.54 172.88 77.23 368.50 288.66 83.32 90.38 892.38 248.50 173.74 356.10 174.62 205.51 128.55 123.34 568.10 134.69 385.74 276.37 483.34 202.13 141.29 50.54 19.90 41.78
